Datetime,PPO,DQN,EW,BH
2025-11-12 19:30:00,-0.0006507588903215388,-0.0006507588903215388,0.018735932371987146,0.018687703113294013
2025-11-12 20:00:00,-0.001685106466002523,-0.001685106466002523,0.018737628514785536,0.018690379321716525
2025-11-12 20:30:00,-0.000983597899827365,-0.000983597899827365,0.019145495656311545,0.01909848779025468
2025-11-13 14:30:00,-0.003761686223066477,-0.003761686223066477,0.014437863064741145,0.014384802390036384
2025-11-13 15:00:00,-0.00481940027484809,-0.00481940027484809,0.014217647476140594,0.014164752817759996
2025-11-13 15:30:00,-0.0043181802622336415,-0.0043181802622336415,0.012716042547919661,0.012658467959777788
2025-11-13 16:00:00,-0.004540932588257895,-0.004540932588257895,0.012299567820257647,0.01224027454046487
2025-11-13 16:30:00,-0.004820505143735233,-0.004820505143735233,0.011763028116899962,0.011702772999275874
2025-11-13 17:00:00,-0.0039297142888567215,-0.0039297142888567215,0.012359931553334692,0.012301635835056344
2025-11-13 17:30:00,-0.004763649571561421,-0.004763649571561421,0.010524866889260399,0.010464171392895167
2025-11-13 18:00:00,-0.006101249358186555,-0.006101249358186555,0.008384723219758763,0.008324477234828114
2025-11-13 18:30:00,-0.006659047241239538,-0.006659047241239538,0.006112232777446141,0.006058151261643552
2025-11-13 19:00:00,-0.007440555497573394,-0.007440555497573394,0.006843262791873302,0.006790065554676767
2025-11-13 19:30:00,-0.0072730441125393825,-0.0072730441125393825,0.0057933607835357155,0.00573734271175684
2025-11-13 20:00:00,-0.007832689590463009,-0.007832689590463009,0.00617241719544645,0.006115566024425559
2025-11-13 20:30:00,-0.009173293905607444,-0.009173293905607444,0.005880288044760916,0.00582489668541806
2025-11-14 14:30:00,-0.009894069671408996,-0.009894069671408996,-0.001884016901843021,-0.0019275893375128375
2025-11-14 15:00:00,-0.011524454828268391,-0.011524454828268391,-0.001481515883916709,-0.0015233334012173683
2025-11-14 15:30:00,-0.011189201325246272,-0.011189201325246272,0.0016012263296444795,0.0015604600091975685
2025-11-14 16:00:00,-0.012423153045104884,-0.012423153045104884,0.003611913623038042,0.0035719941031447924
2025-11-14 16:30:00,-0.012816046848623301,-0.012816046848623301,0.003920532504669434,0.0038802917871214454
2025-11-14 17:00:00,-0.013883386449807212,-0.013883386449807212,0.003514114018999793,0.0034754475658691753
2025-11-14 17:30:00,-0.013844022437843329,-0.013844022437843329,0.0026167193075223695,0.0025764115516250696
2025-11-14 18:00:00,-0.01393956220648632,-0.01393956220648632,0.0014460225593508947,0.001406010084555857
2025-11-14 18:30:00,-0.013769843916723038,-0.013769843916723038,0.0019190612886727106,0.001878191766785171
2025-11-14 19:00:00,-0.013827213876500722,-0.013827213876500722,0.002213736130955191,0.002174645377504898
2025-11-14 19:30:00,-0.014164468291710412,-0.014164468291710412,0.0023785893405838926,0.002340918141076929
2025-11-14 20:00:00,-0.014389339190204905,-0.014389339190204905,0.00035125593051705574,0.0003123509222621051
2025-11-14 20:30:00,-0.014839318559823162,-0.014839318559823162,-0.00017153969980609758,-0.0002120372730371067
2025-11-17 14:30:00,-0.012535343748472946,-0.012535343748472946,0.0009187249543257974,0.0008826051774309282
2025-11-17 15:00:00,-0.012443277958534069,-0.012443277958534069,-0.00013752455846470903,-0.00017432760613498037
2025-11-17 15:30:00,-0.011853059253593689,-0.011853059253593689,-0.001581787728203337,-0.0016185012426627766
2025-11-17 16:00:00,-0.011189201348746413,-0.011189201348746413,-0.0012843026859361772,-0.0013223041337876301
2025-11-17 16:30:00,-0.010348696136515345,-0.010348696136515345,0.0011351322484279968,0.0011002537485473012
2025-11-17 17:00:00,-0.011637657111829682,-0.011637657111829682,0.0005981324536168628,0.0005606402915422937
2025-11-17 17:30:00,-0.011749845301078485,-0.011749845301078485,-0.0022907254089768203,-0.002331378872760804
2025-11-17 18:00:00,-0.011581610558116419,-0.011581610558116419,-0.0026389856845554977,-0.002680098650441476
2025-11-17 18:30:00,-0.011749845323609186,-0.011749845323609186,-0.005015724372428016,-0.005057299210685116
2025-11-17 19:00:00,-0.01242315312518113,-0.01242315312518113,-0.006103123798938271,-0.0061444104301944975
2025-11-17 19:30:00,-0.012327672539699299,-0.012327672539699299,-0.011213184978626573,-0.011248856825888144
2025-11-17 20:00:00,-0.011693792490261215,-0.011693792490261215,-0.009333054601259867,-0.009370920232951338
2025-11-17 20:30:00,-0.01225471946082149,-0.01225471946082149,-0.00691734210474474,-0.006955233236260303
2025-11-18 14:30:00,-0.01029272185074257,-0.01029272185074257,-0.010973279359419389,-0.011025821772474735
2025-11-18 15:00:00,-0.010291610938004849,-0.010291610938004849,-0.010694186738436346,-0.010745889210415749
2025-11-18 15:30:00,-0.010684779368206766,-0.010684779368206766,-0.013123085951838327,-0.013174801126675746
2025-11-18 16:00:00,-0.013040614791111634,-0.013040614791111634,-0.009477924876217497,-0.009526599421957525
2025-11-18 16:30:00,-0.012984489525752544,-0.012984489525752544,-0.00938292751166391,-0.009432208492691396
2025-11-18 17:00:00,-0.013827213995528427,-0.013827213995528427,-0.012083223765977532,-0.012134775459852929
2025-11-18 17:30:00,-0.014894432053739495,-0.014894432053739495,-0.007673201943057882,-0.007720553504056652
2025-11-18 18:00:00,-0.015009218536493537,-0.015009218536493537,-0.008454425096104147,-0.00850119354240534
2025-11-18 18:30:00,-0.01414310784615295,-0.01414310784615295,-0.008095081268241123,-0.008143655519849866
2025-11-18 19:00:00,-0.013489987516522126,-0.013489987516522126,-0.007730618892052276,-0.007779817922353638
2025-11-18 19:30:00,-0.01315296044280878,-0.01315296044280878,-0.006080497161289067,-0.006129007055236705
2025-11-18 20:00:00,-0.013489987521134379,-0.013489987521134379,-0.008291261984801637,-0.008340376871764112
2025-11-18 20:30:00,-0.012759934304010952,-0.012759934304010952,-0.010249788279066856,-0.010301277839348269
2025-11-19 14:30:00,-0.013096828835163204,-0.013096828835163204,-0.0014516833064076012,-0.0015066511428933164
2025-11-19 15:00:00,-0.01399582689986688,-0.01399582689986688,-0.0016034731831598632,-0.0016549083541985954
2025-11-19 15:30:00,-0.012816046928422583,-0.012816046928422583,-0.00563100738477551,-0.005683109220465976
2025-11-19 16:00:00,-0.01214033433201923,-0.01214033433201923,-0.007840126861261176,-0.00788940959772164
2025-11-19 16:30:00,-0.011077076110609579,-0.011077076110609579,-0.007293329650630977,-0.007342210570652144
2025-11-19 17:00:00,-0.011245226003158098,-0.011245226003158098,-0.008800603438769903,-0.00885114967165981
2025-11-19 17:30:00,-0.011805986947339416,-0.011805986947339416,-0.00838915476751774,-0.008440974775735225
2025-11-19 18:00:00,-0.0115255671693083,-0.0115255671693083,-0.008646804521596357,-0.008699897877784763
2025-11-19 18:30:00,-0.011413404146274647,-0.011413404146274647,-0.006853904404722647,-0.006905624658222555
2025-11-19 19:00:00,-0.01231088943462277,-0.01231088943462277,-0.009966553449584702,-0.010018467608139896
2025-11-19 19:30:00,-0.014501836583922921,-0.014501836583922921,-0.009206052504536962,-0.009256634369703533
2025-11-19 20:00:00,-0.014501836564946236,-0.014501836564946236,-0.006931705688593016,-0.006980311305288266
2025-11-19 20:30:00,-0.014501836572711042,-0.014501836572711042,-0.00786436516960059,-0.007913643805020581
2025-11-20 14:30:00,-0.011970835412984375,-0.011970835412984375,0.0037204347903726943,0.0036834643100149226
2025-11-20 15:00:00,-0.011636544680746392,-0.011636544680746392,0.003717486878254607,0.0036799343494768734
2025-11-20 15:30:00,-0.011301253654854009,-0.011301253654854009,0.000534462838941182,0.0004991902516086259
2025-11-20 16:00:00,-0.010068684695645034,-0.010068684695645034,-0.0037895388443116343,-0.0038303967519160488
2025-11-20 16:30:00,-0.010545870678644459,-0.010545870678644459,-0.011240410246062725,-0.011287998260771405
2025-11-20 17:00:00,-0.009395935321269448,-0.009395935321269448,-0.012174152637587277,-0.012225578887929201
2025-11-20 17:30:00,-0.010852863289239713,-0.010852863289239713,-0.012873800113927202,-0.012928983946616918
2025-11-20 18:00:00,-0.011862046132114449,-0.011862046132114449,-0.011644138107601863,-0.0116950822032346
2025-11-20 18:30:00,-0.010292721885603536,-0.010292721885603536,-0.015116325255526315,-0.01517325236265952
2025-11-20 19:00:00,-0.01102106098252666,-0.01102106098252666,-0.012410721569851998,-0.012470137370773276
2025-11-20 19:30:00,-0.011245226026541159,-0.011245226026541159,-0.011511015388778297,-0.011569204918403037
2025-11-20 20:00:00,-0.010908954554279131,-0.010908954554279131,-0.013655571398660919,-0.013715062216625015
2025-11-20 20:30:00,-0.010740861228775772,-0.010740861228775772,-0.016553710515914484,-0.016617877571901862
2025-11-21 14:30:00,-0.008278619090683068,-0.008278619090683068,-0.014910572594098536,-0.014971811684579494
2025-11-21 15:00:00,-0.007399314272991301,-0.007399314272991301,-0.016757416453187242,-0.016821123383380206
2025-11-21 15:30:00,-0.009173294100062441,-0.009173294100062441,-0.0175080857614743,-0.017572539351253594
